Date,AAPL,AMZN
2016-01-04,101.78376337717,636.99
2016-01-05,99.233130863492,633.79
2016-01-06,97.291172017853,632.65
2016-01-07,93.185040130307,607.94
2016-01-08,93.677775956812,607.05
2016-01-11,95.194629383506,617.74
2016-01-12,96.57622199508,617.89
2016-01-13,94.093219888964,581.81
2016-01-14,96.151116576134,593.0
2016-01-15,93.842021232314,570.18
2016-01-19,93.387931352986,574.48
2016-01-20,93.513530681311,571.77
2016-01-21,93.040117828394,575.02
2016-01-22,97.986799067037,596.38
2016-01-25,96.07382468178,596.53
2016-01-26,96.605206455463,601.25
2016-01-27,90.257609631657,583.35
2016-01-28,90.90492924687,635.35
2016-01-29,94.044912454993,587.0
2016-02-01,93.165717156719,574.81
2016-02-02,91.281727231844,552.1
2016-02-03,93.088425262365,531.07
2016-02-04,93.83235974552,536.26
2016-02-05,91.32627808772,502.13
2016-02-08,92.28791407269,488.1
2016-02-09,92.268487083095,482.07
2016-02-10,91.569115457662,490.48
2016-02-11,91.015446254195,503.82
2016-02-12,91.297137603327,507.08
2016-02-16,93.871213724711,521.1
2016-02-17,95.308810954766,534.1
2016-02-18,93.502100922399,525.0
2016-02-19,93.28840403685,534.9
2016-02-22,94.104337599855,559.5
2016-02-23,91.977082239165,552.94
2016-02-24,93.346685005636,554.04
2016-02-25,93.987775662283,555.15
2016-02-26,94.133478084248,555.23
2016-02-29,93.919781198699,552.52
2016-03-01,97.649763201006,579.04
2016-03-02,97.863460086554,580.21
2016-03-03,98.59197219638,577.49
2016-03-04,100.05870991083,575.14
2016-03-07,98.951371503894,562.8
2016-03-08,98.135437940889,560.26
2016-03-09,98.222859394068,559.47
2016-03-10,98.271426868057,558.93
2016-03-11,99.330197801003,569.61
2016-03-14,99.582748665742,573.37
2016-03-15,101.58372859406,577.02
2016-03-16,102.93390437094,574.27
2016-03-17,102.76877495938,559.44
2016-03-18,102.88533689695,552.08
2016-03-21,102.87562340215,553.98
2016-03-22,103.66241648077,560.48
2016-03-23,103.0893202877,569.63
2016-03-24,102.64249952701,582.95
2016-03-28,102.17625177672,579.87
2016-03-29,104.59491198134,593.86
2016-03-30,106.4210490033,598.69
2016-03-31,105.86737979984,593.64
2016-04-01,106.8387292796,598.5
2016-04-04,107.93635419174,593.19
2016-04-05,106.66388637325,586.14
2016-04-06,107.78093827498,602.08
2016-04-07,105.43027253394,591.43
2016-04-08,105.54683447151,594.6
2016-04-11,105.89652028423,595.93
2016-04-12,107.2758365455,603.17
2016-04-13,108.82999571313,614.82
2016-04-14,108.88827668191,620.75
2016-04-15,106.70274035244,625.89
2016-04-18,104.40064208539,635.35
2016-04-19,103.84697288192,627.9
2016-04-20,104.06066976747,632.99
2016-04-21,102.93390437094,631.0
2016-04-22,102.65221302181,620.5
2016-04-25,102.06940333395,626.2
2016-04-26,101.36031821372,616.88
2016-04-27,95.017406110836,606.57
2016-04-28,92.113071166332,602.0
2016-04-29,91.054300233386,659.59
2016-05-02,90.957165285409,683.85
2016-05-03,92.453043484251,671.32
2016-05-04,91.491407499281,670.9
2016-05-05,91.122294696969,659.09
2016-05-06,90.614105151255,673.95
2016-05-09,90.682515282409,679.75
2016-05-10,91.298206462794,703.07
2016-05-11,90.408874757793,713.23
2016-05-12,88.288160692023,717.93
2016-05-13,88.464072457847,709.92
2016-05-16,91.747758753233,710.66
2016-05-17,91.366616593947,695.27
2016-05-18,92.412314313014,697.45
2016-05-19,92.060490781365,698.52
2016-05-20,93.057324121036,702.8
2016-05-23,94.23984210241,696.75
2016-05-24,95.676454856642,704.2
2016-05-25,97.357389507852,708.35
2016-05-26,98.129446702303,714.91
2016-05-27,98.070809447028,712.24
2016-05-31,97.591938528951,722.79
2016-06-01,96.223735905873,719.44
2016-06-02,95.500543090818,728.24
2016-06-03,95.6960006084,725.54
2016-06-06,96.389874795818,726.73
2016-06-07,96.780789830983,723.74
2016-06-08,96.692833948071,726.64
2016-06-09,97.386708135489,727.65
2016-06-10,96.585332313401,717.91
2016-06-13,95.129173807411,715.24
2016-06-14,95.24644831796,719.3
2016-06-15,94.933716289828,714.26
2016-06-16,95.334404200873,717.51
2016-06-17,93.164825755707,706.39
2016-06-20,92.940049610487,714.01
2016-06-21,93.731652556696,715.82
2016-06-22,93.379829025047,710.6
2016-06-23,93.917337198399,722.08
2016-06-24,91.278660711035,698.96
2016-06-27,89.949549591474,691.36
2016-06-28,91.464345352739,707.95
2016-06-29,92.255948298948,715.6
2016-06-30,93.428693404443,715.62
2016-07-01,93.712106804938,725.68
2016-07-05,92.832547975816,728.1
2016-07-06,93.360283273289,737.61
2016-07-07,93.760971184333,736.57
2016-07-08,94.484163999389,745.81
2016-07-11,94.777350275762,753.78
2016-07-12,95.207356814444,748.21
2016-07-13,94.669848641092,742.63
2016-07-14,96.546240809884,741.2
2016-07-15,96.536467934005,735.44
2016-07-18,97.562619901313,736.07
2016-07-19,97.60171140483,739.95
2016-07-20,97.689667287742,745.72
2016-07-21,97.171704866148,744.43
2016-07-22,96.419193423456,744.86
2016-07-25,95.129173807411,739.61
2016-07-26,94.47439112351,735.59
2016-07-27,100.6117571756,736.67
2016-07-28,101.9701869228,752.61
2016-07-29,101.84313953637,758.81
2016-08-01,103.64134869813,767.74
2016-08-02,102.10700718511,760.58
2016-08-03,103.38725392527,754.64
2016-08-04,104.02249085742,760.77
2016-08-05,105.60439517668,765.98
2016-08-08,106.47886402397,766.56
2016-08-09,106.91118570129,768.31
2016-08-10,106.11532079532,768.56
2016-08-11,106.04654234666,771.24
2016-08-12,106.29217966332,772.56
2016-08-15,107.56949370993,768.49
2016-08-16,107.47123878326,764.04
2016-08-17,107.3140309006,764.63
2016-08-18,107.17647400328,764.46
2016-08-19,107.45158779793,757.31
2016-08-22,106.6164209213,759.48
2016-08-23,106.95048767195,762.45
2016-08-24,106.14479727332,757.25
2016-08-25,105.69282461068,759.22
2016-08-26,105.0738185727,769.0
2016-08-29,104.95591266071,771.29
2016-08-30,104.15022226208,767.58
2016-08-31,104.24847718874,769.16
2016-09-01,104.86748322671,770.62
2016-09-02,105.85003249333,772.44
2016-09-06,105.82055601534,788.87
2016-09-07,106.46903853131,784.48
2016-09-08,103.6785986141,784.06
2016-09-09,101.33030586687,760.14
2016-09-12,103.59999467277,771.49
2016-09-13,106.06619333199,761.01
2016-09-14,109.81953153049,761.09
2016-09-15,113.55321874366,769.69
2016-09-16,112.91456172036,778.52
2016-09-19,111.59794570308,775.1
2016-09-20,111.58812021042,780.22
2016-09-21,111.56846922508,789.74
2016-09-22,112.61979694037,804.7
2016-09-23,110.74312784112,805.75
2016-09-26,110.91016121645,799.16
2016-09-27,111.11649656244,816.11
2016-09-28,111.96148893173,828.72
2016-09-29,110.22237672981,829.05
2016-09-30,111.07719459177,837.31
2016-10-03,110.55644348046,836.74
2016-10-04,111.02806712844,834.03
2016-10-05,111.07719459177,844.36
2016-10-06,111.90253597573,841.66
2016-10-07,112.06956935106,839.43
2016-10-10,114.02484239164,841.71
2016-10-11,114.2704797083,831.0
2016-10-12,115.29233094559,834.09
2016-10-13,114.9386132096,829.28
2016-10-14,115.57727023291,822.96
2016-10-17,115.49866629158,812.95
2016-10-18,115.42006235025,817.65
2016-10-19,115.07617010693,817.69
2016-10-20,115.01721715093,810.32
2016-10-21,114.56524448828,818.99
2016-10-24,115.59692121824,838.09
2016-10-25,116.18645077821,835.18
2016-10-26,113.57286972899,822.59
2016-10-27,112.48224004304,818.36
2016-10-28,111.73550260041,776.32
2016-10-31,111.55864373242,789.82
2016-11-01,109.54441773584,785.41
2016-11-02,109.6426726625,765.56
2016-11-03,108.47343903522,767.03
2016-11-04,107.49566698164,755.05
2016-11-07,109.04627518782,784.93
2016-11-08,109.68824673815,787.75
2016-11-09,109.51047000114,771.88
2016-11-10,106.45863601572,742.38
2016-11-11,107.09073108066,739.01
2016-11-14,104.40432705466,719.07
2016-11-15,105.78703500922,743.24
2016-11-16,108.63146280145,746.49
2016-11-17,108.5919568599,756.4
2016-11-18,108.70059819918,760.16
2016-11-21,110.34997125926,780.0
2016-11-22,110.41910665699,785.33
2016-11-23,109.85614698978,780.12
2016-11-25,110.4092301716,780.37
2016-11-28,110.19194749303,766.77
2016-11-29,110.08330615374,762.52
2016-11-30,109.15491652711,750.57
2016-12-01,108.13763853197,743.65
2016-12-02,108.54257443295,740.34
2016-12-05,107.76233208716,759.36
2016-12-06,108.5919568599,764.72
2016-12-07,109.65861728198,770.42
2016-12-08,110.73515418946,767.33
2016-12-09,112.54255101578,768.66
2016-12-12,111.90057946545,760.12
2016-12-13,113.76723520411,774.34
2016-12-14,113.76723520411,768.82
2016-12-15,114.38945378366,761.0
2016-12-16,114.5376010645,757.77
2016-12-19,115.19932558561,766.0
2016-12-20,115.50549663269,771.22
2016-12-21,115.61413797198,770.6
2016-12-22,114.85364859697,766.34
2016-12-23,115.08080776094,760.59
2016-12-27,115.81166767978,771.4
2016-12-28,115.31784341029,772.13
2016-12-29,115.28821395412,765.15
2016-12-30,114.38945378366,749.87
2017-01-03,114.71537780152,753.67
2017-01-04,114.58698349145,757.18
2017-01-05,115.16969612944,780.45
2017-01-06,116.45363923011,795.99
2017-01-09,117.5202996522,796.92
2017-01-10,117.63881747687,795.9
2017-01-11,118.27091254181,799.02
2017-01-12,117.77708827233,813.64
2017-01-13,117.56968207915,817.14
2017-01-17,118.51782467656,809.72
2017-01-18,118.50794819117,807.48
2017-01-19,118.30054199798,809.04
2017-01-20,118.51782467656,808.33
2017-01-23,118.59683655968,817.88
2017-01-24,118.48819522039,822.44
2017-01-25,120.37460392982,836.52
2017-01-26,120.43386284216,839.15
2017-01-27,120.44373932755,835.77
2017-01-30,120.12769179508,830.38
2017-01-31,119.85115020417,823.48
2017-02-01,127.15974939256,832.35
2017-02-02,126.94246671398,839.95
2017-02-03,127.48567341042,810.2
2017-02-06,128.68072814257,807.64
2017-02-07,129.9054123309,812.5
2017-02-08,130.40911308577,819.71
2017-02-09,131.34737919779,821.36
2017-02-10,131.04980924039,827.46
2017-02-13,132.21033207426,836.53
2017-02-14,133.92631882862,836.39
2017-02-15,134.41234975905,842.7
2017-02-16,134.24868628248,844.14
2017-02-17,134.62064872923,845.07
2017-02-21,135.59271059008,856.44
2017-02-22,135.99938953187,855.61
2017-02-23,135.42408761422,852.19
2017-02-24,135.55303459576,845.24
2017-02-27,135.82084755742,848.64
2017-02-28,135.8803615489,845.04
2017-03-01,138.65768115133,853.08
2017-03-02,137.83440426919,848.91
2017-03-03,138.64776215275,849.88
2017-03-06,138.21132621523,846.61
2017-03-07,138.38986818967,846.02
2017-03-08,137.87408026351,850.5
2017-03-09,137.55667230894,853.0
2017-03-10,138.01294624363,852.46
2017-03-13,138.07246023511,854.59
2017-03-14,137.86416126493,852.53
2017-03-15,139.3222540562,852.97
2017-03-16,139.55039102354,853.42
2017-03-17,138.85606112294,852.31
2017-03-20,140.31415391421,856.97
2017-03-21,138.70727614424,843.2
2017-03-22,140.27447791989,848.06
2017-03-23,139.77852799089,847.38
2017-03-24,139.50079603064,845.61
2017-03-27,139.73885199657,846.82
2017-03-28,142.63519958196,856.0
2017-03-29,142.95260753652,874.32
2017-03-30,142.7641465635,876.34
2017-03-31,142.49633360184,886.54
2017-04-03,142.53600959616,891.51
2017-04-04,143.59734244423,906.83
2017-04-05,142.85341755072,909.28
2017-04-06,142.49633360184,898.28
2017-04-07,142.17892564727,894.88
2017-04-10,142.01030267141,907.04
2017-04-11,140.48277689007,902.36
2017-04-12,140.65139986594,896.23
2017-04-13,139.90747497243,884.67
2017-04-17,140.68115686168,901.99
2017-04-18,140.05625995113,903.78
2017-04-19,139.54047202496,899.2
2017-04-20,141.28621577506,902.06
2017-04-21,141.1175927992,898.53
2017-04-24,142.47649560468,907.41
2017-04-25,143.36920547689,907.62
2017-04-26,142.48720812314,909.29
2017-04-27,142.62528058338,918.76
2017-04-28,142.48641460326,924.99
2017-05-01,145.41251918439,948.43
2017-05-02,146.31514805518,946.68
2017-05-03,145.86879311907,941.03
2017-05-04,145.34308619433,937.53
2017-05-05,147.75340284929,934.15
2017-05-08,151.76067827566,949.04
2017-05-09,152.71290213935,952.82
2017-05-10,152.01857223874,948.95
2017-05-11,153.32788005131,947.62
2017-05-12,155.46919178961,961.35
2017-05-15,155.07080821039,957.97
2017-05-16,154.84173765234,966.07
2017-05-17,149.64283194355,944.52
2017-05-18,151.92357793457,958.49
2017-05-19,152.34188069275,959.84
2017-05-22,153.36771840924,970.7
