DATE,vwretd,vwretx,ewretd,ewretx,sprtrn,totval
20070131,0.019401,0.018466,0.022283,0.021357,0.014059,19932115500.00
20070228,-0.013994,-0.015985,0.002111,0.000857,-0.021846,19593728700.00
20070330,0.012946,0.011471,0.006545,0.004805,0.009980,19848733800.00
20070430,0.039821,0.038455,0.027044,0.025768,0.043291,20579378200.00
20070531,0.038932,0.036643,0.023123,0.021362,0.032549,21300182800.00
20070629,-0.014754,-0.016117,-0.007906,-0.009856,-0.017816,20935084700.00
20070731,-0.031758,-0.032762,-0.043537,-0.044642,-0.031982,20191299400.00
20070831,0.011631,0.009678,-0.011712,-0.013287,0.012864,20368717100.00
20070928,0.040849,0.039332,0.025364,0.023661,0.035794,21116350400.00
20071031,0.025834,0.024693,0.017406,0.016144,0.014822,21518153300.00
20071130,-0.049327,-0.051275,-0.076617,-0.078118,-0.044043,20300595400.00
20071231,-0.004428,-0.006515,-0.010989,-0.014282,-0.008628,20195657400.00
20080131,-0.062147,-0.063252,-0.045066,-0.046160,-0.061163,18879737400.00
20080229,-0.021664,-0.023605,-0.021401,-0.022916,-0.034761,18359049400.00
20080331,-0.010419,-0.012158,-0.025309,-0.027567,-0.005960,18165533400.00
20080430,0.051106,0.049781,0.031907,0.030490,0.047547,19046195300.00
20080530,0.023841,0.021528,0.031787,0.029774,0.010674,19441549200.00
20080630,-0.078433,-0.080247,-0.086625,-0.088745,-0.085962,17907008700.00
20080731,-0.013328,-0.014677,-0.001295,-0.002657,-0.009859,17645994600.00
20080829,0.010563,0.008574,0.013023,0.011122,0.012191,17793739300.00
20080930,-0.098007,-0.099796,-0.120091,-0.122188,-0.090791,16056385200.00
20081031,-0.184621,-0.186108,-0.205222,-0.206835,-0.169425,13025619700.00
20081128,-0.084615,-0.087354,-0.130320,-0.132591,-0.074849,11861225300.00
20081231,0.022148,0.019081,0.042176,0.037024,0.007822,12129150700.00
20090130,-0.077323,-0.078717,-0.024042,-0.025384,-0.085657,11163791300.00
20090227,-0.100214,-0.103401,-0.107667,-0.109769,-0.109931,9976710990.00
20090331,0.086690,0.083432,0.107474,0.104391,0.085405,10723103600.00
20090430,0.109359,0.107522,0.192762,0.190929,0.093925,11886353000.00
20090529,0.067788,0.065138,0.102330,0.100210,0.053081,12732389000.00
20090630,-0.003098,-0.005040,0.023921,0.021352,0.000196,12730346900.00
20090731,0.081719,0.080298,0.085217,0.083763,0.074142,13780337100.00
20090831,0.031459,0.029300,0.056864,0.055310,0.033560,14254433300.00
20090930,0.045222,0.043582,0.071255,0.069383,0.035723,14978086400.00
20091030,-0.027993,-0.029250,-0.050612,-0.051739,-0.019762,14518651300.00
20091130,0.057098,0.054642,0.028476,0.026485,0.057364,15327869800.00
20091231,0.028419,0.026392,0.055001,0.051972,0.017771,15804517600.00
20100129,-0.037096,-0.038109,-0.011388,-0.012292,-0.036974,15197170100.00
20100226,0.034774,0.032688,0.033603,0.032232,0.028514,15697675800.00
20100331,0.063606,0.061920,0.069289,0.067252,0.058796,16739921400.00
20100430,0.020043,0.018930,0.057843,0.056698,0.014759,17076668900.00
20100528,-0.079136,-0.081224,-0.076929,-0.078435,-0.081976,15706524000.00
20100630,-0.050725,-0.052465,-0.056799,-0.058868,-0.053882,14855463300.00
20100730,0.070292,0.068594,0.059940,0.058682,0.068778,15865493900.00
20100831,-0.042813,-0.044938,-0.047566,-0.049083,-0.047449,15142857800.00
20100930,0.091518,0.089635,0.096418,0.094485,0.087551,16519252100.00
20101029,0.038531,0.037009,0.040681,0.039488,0.036856,17164577700.00
20101130,0.005108,0.002908,0.010736,0.008972,-0.002290,17336915300.00
20101231,0.067150,0.064817,0.068851,0.065469,0.065300,18490584200.00
20110131,0.019157,0.018203,0.014412,0.013611,0.022646,18910471900.00
20110228,0.038165,0.036232,0.037036,0.035725,0.031957,19600599000.00
20110331,0.003366,0.001781,0.008605,0.006786,-0.001047,19676226800.00
20110429,0.028688,0.027573,0.019203,0.018109,0.028495,20197771900.00
20110531,-0.014935,-0.016942,-0.018549,-0.020191,-0.013501,19851752200.00
20110630,-0.018395,-0.020161,-0.024106,-0.026251,-0.018258,19436257500.00
20110729,-0.022470,-0.023611,-0.021813,-0.022838,-0.021474,18980625100.00
20110831,-0.057472,-0.059612,-0.075715,-0.077329,-0.056791,17821245600.00
20110930,-0.084873,-0.086564,-0.100920,-0.102888,-0.071762,16250713600.00
20111031,0.113977,0.112566,0.107697,0.106575,0.107723,18055633600.00
20111130,-0.006226,-0.008893,-0.020645,-0.022480,-0.005059,17856521900.00
20111230,0.003702,0.001454,-0.003561,-0.007020,0.008533,17886832900.00
20120131,0.054076,0.052929,0.085342,0.084432,0.043583,18854257100.00
20120229,0.041186,0.038914,0.036494,0.035003,0.040589,19581932100.00
20120330,0.023994,0.022110,0.017608,0.015303,0.031332,20055998000.00
20120430,-0.006801,-0.008019,-0.009106,-0.010235,-0.007497,19914985400.00
20120531,-0.065531,-0.067942,-0.068434,-0.070404,-0.062651,18556832800.00
20120629,0.038156,0.036055,0.034188,0.031622,0.039555,19233119100.00
20120731,0.010266,0.009012,-0.003281,-0.004484,0.012598,19405949800.00
20120831,0.026265,0.023665,0.024820,0.022964,0.019763,19840776500.00
20120928,0.026539,0.024597,0.034925,0.032690,0.024236,20398444900.00
20121031,-0.014101,-0.015550,-0.013477,-0.014781,-0.019789,20084736000.00
20121130,0.006193,0.002953,0.002790,0.000142,0.002847,20142065000.00
20121231,0.012531,0.008980,0.021872,0.016406,0.007068,20352704600.00
20130131,0.054094,0.052887,0.063509,0.062680,0.050428,21476744200.00
20130228,0.008332,0.006128,0.003500,0.002060,0.011061,21576207000.00
20130328,0.035274,0.033509,0.031419,0.029529,0.035988,22358206100.00
20130430,0.014945,0.013768,0.002477,0.001376,0.018086,22681759500.00
20130531,0.019067,0.016509,0.023985,0.022131,0.020763,23106434700.00
20130628,-0.015039,-0.017055,-0.013012,-0.015631,-0.014999,22699073900.00
20130731,0.052681,0.051244,0.054898,0.053720,0.049462,23872524800.00
20130830,-0.025714,-0.027891,-0.017278,-0.019029,-0.031298,23214826900.00
20130930,0.037477,0.035682,0.051828,0.049754,0.029749,24085217000.00
20131031,0.039852,0.038565,0.025762,0.024591,0.044596,25010887500.00
20131129,0.024947,0.022824,0.023398,0.021660,0.028049,25615234800.00
20131231,0.026126,0.024071,0.025242,0.022010,0.023563,26281333900.00
20140131,-0.029957,-0.031063,-0.001282,-0.002254,-0.035583,25483765500.00
20140228,0.046173,0.043937,0.044257,0.042687,0.043117,26647988000.00
20140331,0.004469,0.002751,0.001028,-0.001095,0.006932,26789937400.00
20140430,0.001661,0.000496,-0.022319,-0.023436,0.006201,26875461000.00
20140530,0.020219,0.018012,0.006647,0.004858,0.021030,27357979600.00
20140630,0.027941,0.025957,0.039501,0.037053,0.019058,28114724100.00
20140731,-0.020523,-0.021819,-0.035223,-0.036411,-0.015080,27538527600.00
20140829,0.040186,0.038183,0.033697,0.032156,0.037655,28582716700.00
20140930,-0.025129,-0.026823,-0.044988,-0.046891,-0.015514,27845873900.00
20141031,0.021184,0.019935,0.014199,0.012956,0.023201,28438181600.00
20141128,0.021150,0.018986,-0.002457,-0.004155,0.024534,29035190300.00
20141231,-0.003616,-0.005754,-0.000190,-0.003562,-0.004189,28964031100.00
20150130,-0.027152,-0.028223,-0.019073,-0.020095,-0.031041,28066241700.00
20150227,0.055948,0.053611,0.054123,0.052497,0.054893,29553801600.00
20150331,-0.010439,-0.012255,-0.005112,-0.007204,-0.017396,29184525700.00
20150430,0.008723,0.007574,0.015127,0.013989,0.008521,29418417000.00
20150529,0.010326,0.008167,0.003962,0.002313,0.010491,29622799800.00
20150630,-0.019259,-0.021201,-0.013473,-0.015969,-0.021012,29017522900.00
20150731,0.012095,0.010881,-0.027144,-0.028387,0.019742,29354635800.00
20150831,-0.059996,-0.062061,-0.047295,-0.049309,-0.062581,27483632600.00
20150930,-0.033738,-0.035673,-0.049922,-0.052219,-0.026443,26484538200.00
20151030,0.073963,0.072566,0.052873,0.051512,0.082983,28374765700.00
20151130,0.002442,0.000176,0.007333,0.005435,0.000505,28352762100.00
20151231,-0.022257,-0.024498,-0.035887,-0.039462,-0.017530,27658783200.00
20160129,-0.057035,-0.058204,-0.074951,-0.076175,-0.050735,26007622700.00
20160229,0.000682,-0.001739,0.005557,0.003629,-0.004128,25806992000.00
20160331,0.070460,0.068088,0.078191,0.075548,0.065991,27533008500.00
20160429,0.011799,0.010563,0.039834,0.038598,0.002699,27817792900.00
20160531,0.014296,0.011885,-0.000617,-0.002402,0.015329,28063563400.00
20160630,0.003123,0.001049,0.005839,0.003030,0.000906,28106051100.00
20160729,0.038740,0.037492,0.049867,0.048740,0.035610,29175670500.00
20160831,0.002787,0.000452,0.013067,0.011290,-0.001219,29191501200.00
20160930,0.003016,0.001239,0.015373,0.013393,-0.001234,29175094900.00
20161031,-0.021590,-0.022835,-0.039941,-0.041024,-0.019426,28535732900.00
20161130,0.040415,0.037971,0.050505,0.048691,0.034174,29638326400.00
20161230,0.018775,0.016633,0.015889,0.012420,0.018201,30150548800.00
20170131,0.022177,0.021153,0.025931,0.025074,0.017884,30852158200.00
20170228,0.032638,0.030536,0.017130,0.015556,0.037198,31804665400.00
20170331,0.002089,0.000216,0.006390,0.004407,-0.000389,31838863500.00
20170428,0.009612,0.008492,0.003684,0.002687,0.009091,32144408500.00
20170531,0.009340,0.006994,-0.011327,-0.013018,0.011576,32424003800.00
20170630,0.009460,0.007576,0.022916,0.020448,0.004814,32686416400.00
20170731,0.020327,0.018942,0.009110,0.008052,0.019349,33226152000.00
20170831,0.001591,-0.000645,-0.008749,-0.010312,0.000546,33127079900.00
20170929,0.023704,0.022098,0.046757,0.044730,0.019303,33836479100.00
20171031,0.019264,0.018161,0.002211,0.001196,0.022188,34464997400.00
20171130,0.027269,0.024945,0.020836,0.018997,0.028083,35325579900.00
20171229,0.012163,0.010303,0.014220,0.011149,0.009832,35731078400.00
